34,0,6,0,0,0,2,0,1,0,0,0,0,0,0,0
10,12,1,3,1,7,0,1,2,0,0,0,1,1,1,0
0,14,1,10,3,0,0,0,0,0,0,0,0,0,0,0
7,15,0,0,0,2,0,0,1,0,0,0,0,0,0,0
7,0,3,1,0,2,6,0,0,1,0,1,0,0,0,0
5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
