18,31,20,11,7,0,0,1
28,1,0,0,0,0,0,0
15,9,0,1,0,1,0,0
16,6,0,2,0,0,0,0
23,0,0,0,0,0,0,0
5,7,0,0,0,0,0,0
1,0,7,0,0,3,0,0
2,5,2,0,0,0,0,0
3,5,0,0,0,0,0,0
3,2,2,0,1,0,0,0
0,2,5,1,0,0,0,0
3,4,0,0,0,0,0,0
1,3,1,0,0,0,0,0
2,0,2,0,0,0,1,0
1,4,0,0,0,0,0,0
2,3,0,0,0,0,0,0
1,3,0,0,0,0,0,0
0,1,1,0,2,0,0,0
4,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0
0,0,0,0,3,0,0,0
1,2,0,0,0,0,0,0
1,1,0,0,0,0,0,0
0,0,2,0,0,0,0,0
0,0,0,0,0,2,0,0
0,0,2,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0
